
#################################################################
Log started at 2025-06-12_16-19-12 
#################################################################
IMU initialized succesfully
Checksum failed. Expected: 65af, Got: 154c
Checksum failed. Expected: 6aab, Got: 12bd
Checksum failed. Expected: d660, Got: 9345
Checksum failed. Expected: 604b, Got: 97bd
Checksum failed. Expected: 407d, Got: 1ee8
Checksum failed. Expected: 7ab4, Got: 99f0
Checksum failed. Expected: 48d2, Got: 1167
Checksum failed. Expected: 6ec8, Got: 17ab
Checksum failed. Expected: dc19, Got: a193
Checksum failed. Expected: f739, Got: 9f1a
Checksum failed. Expected: dae6, Got: a022
Checksum failed. Expected: 8d1c, Got: 9f02
Checksum failed. Expected: 924e, Got: 18e3
Checksum failed. Expected: 134b, Got: 975f
Checksum failed. Expected: 9753, Got: a035
Checksum failed. Expected: 9a6b, Got: 117c
Checksum failed. Expected: 3de9, Got: 98bd
Checksum failed. Expected: 51f4, Got: 1b11
Checksum failed. Expected: 1107, Got: 18f9
Checksum failed. Expected: 3bdc, Got: cb60
Checksum failed. Expected: 8a23, Got: a744
Checksum failed. Expected: 7ecd, Got: ab0c
Checksum failed. Expected: 8dea, Got: d419
Checksum failed. Expected: 1c9f, Got: 2336
Checksum failed. Expected: e355, Got: 0e81
Checksum failed. Expected: 9f0b, Got: 0d74
Checksum failed. Expected: ee45, Got: 4a42
Checksum failed. Expected: 95f7, Got: 8c52
Checksum failed. Expected: 8e32, Got: 8f66
Checksum failed. Expected: c372, Got: 9134
Checksum failed. Expected: 8aa8, Got: 8ec0
Checksum failed. Expected: 32c3, Got: 0b2a
Checksum failed. Expected: 26cd, Got: 88f9
Checksum failed. Expected: 87e1, Got: 4ad7
Checksum failed. Expected: b724, Got: 0998
Checksum failed. Expected: 0c1b, Got: c7de
Checksum failed. Expected: a068, Got: 0c80
Checksum failed. Expected: 6fdc, Got: ca6b
Checksum failed. Expected: 0239, Got: c911
Checksum failed. Expected: 532e, Got: 452a
Checksum failed. Expected: 0454, Got: 083e
Checksum failed. Expected: 30e7, Got: 8f68
Checksum failed. Expected: b764, Got: 10a9
Checksum failed. Expected: 372f, Got: 8fcd
Checksum failed. Expected: 9b33, Got: 0a52
Checksum failed. Expected: 7667, Got: 8d9b
Checksum failed. Expected: 205e, Got: 0fe4
Checksum failed. Expected: 1fb8, Got: 4ebf
Checksum failed. Expected: a6cc, Got: 8f8e
Checksum failed. Expected: bfcc, Got: d014
Checksum failed. Expected: 1071, Got: caa4
Checksum failed. Expected: f457, Got: 897a
Checksum failed. Expected: 7ef0, Got: a2cb
Checksum failed. Expected: ac65, Got: 53b1
Checksum failed. Expected: f484, Got: 2732
Checksum failed. Expected: ccae, Got: a067
Checksum failed. Expected: 44d4, Got: 22fc
Checksum failed. Expected: 7e62, Got: a079
Checksum failed. Expected: 4967, Got: a549
Checksum failed. Expected: d998, Got: ab82
Checksum failed. Expected: 64fd, Got: 2b3f
Checksum failed. Expected: 816c, Got: a5d3
Checksum failed. Expected: 20c8, Got: 31f1
Checksum failed. Expected: c8f9, Got: 2a25
Checksum failed. Expected: 4a79, Got: 2a6f
Checksum failed. Expected: 3e2f, Got: a0bb
Checksum failed. Expected: a3f5, Got: a863
Checksum failed. Expected: 23a9, Got: 2cd0
Checksum failed. Expected: ca64, Got: 271e
Checksum failed. Expected: e9e4, Got: a938
Checksum failed. Expected: fcac, Got: 2803
Checksum failed. Expected: de10, Got: a4d0
Checksum failed. Expected: bb89, Got: 9e3f
Checksum failed. Expected: dcc8, Got: 9c67
Checksum failed. Expected: ad33, Got: a5a4
Checksum failed. Expected: 5f55, Got: 23bd
Checksum failed. Expected: be87, Got: 18ba
Checksum failed. Expected: df99, Got: 9806
Checksum failed. Expected: b581, Got: 97b7
Checksum failed. Expected: 56c5, Got: 1c7a
Checksum failed. Expected: f0b8, Got: 21dd
Checksum failed. Expected: c0e6, Got: 9f28
Checksum failed. Expected: 7df2, Got: 1dab
Checksum failed. Expected: 84e4, Got: 2cb2
Checksum failed. Expected: 6fd5, Got: b1d6
Checksum failed. Expected: 0c28, Got: a9f0
Checksum failed. Expected: 0b30, Got: a511
Checksum failed. Expected: d5af, Got: 520f
Checksum failed. Expected: 7821, Got: 4c12
Checksum failed. Expected: 59b7, Got: 903a
Checksum failed. Expected: 40f4, Got: 285c
Checksum failed. Expected: 3dfa, Got: 1ced
Checksum failed. Expected: cc88, Got: d210
Checksum failed. Expected: d1ec, Got: 1251
Checksum failed. Expected: 646c, Got: 2894
Checksum failed. Expected: 4eee, Got: 263a
Checksum failed. Expected: 51a9, Got: 2cda
Checksum failed. Expected: 833a, Got: cfc4
Checksum failed. Expected: 84b6, Got: 50ea
Checksum failed. Expected: 1ce7, Got: d954
Checksum failed. Expected: d932, Got: 2852
Checksum failed. Expected: 9168, Got: 4d9d
Checksum failed. Expected: 590d, Got: 8cc9
Checksum failed. Expected: 2328, Got: c8a4
Checksum failed. Expected: 00ec, Got: cd76
Checksum failed. Expected: 4432, Got: 5838
Checksum failed. Expected: 47a0, Got: d5b5
Checksum failed. Expected: 4368, Got: d0bb
Checksum failed. Expected: 4b9b, Got: 9b64
Checksum failed. Expected: e266, Got: 97e7
Checksum failed. Expected: d70f, Got: 1cbb
Checksum failed. Expected: 9ab7, Got: 5064
Checksum failed. Expected: b162, Got: 9af3
Checksum failed. Expected: 0fab, Got: 980a
Checksum failed. Expected: f1e9, Got: ca4c
Checksum failed. Expected: cc01, Got: 4659
Checksum failed. Expected: 0893, Got: c89a
Checksum failed. Expected: f6bd, Got: 19f7
Checksum failed. Expected: 5a86, Got: 9396
Checksum failed. Expected: c6d0, Got: 95b2
Checksum failed. Expected: 948f, Got: a15b
Checksum failed. Expected: e284, Got: 9a71
Checksum failed. Expected: bdf9, Got: 8a12
Checksum failed. Expected: 7030, Got: 022d
Checksum failed. Expected: c846, Got: 83d5
Checksum failed. Expected: 15e6, Got: 0b12
Checksum failed. Expected: 9fd0, Got: 0a2f
Checksum failed. Expected: 3a66, Got: 863d
Checksum failed. Expected: c338, Got: 419f
Checksum failed. Expected: a138, Got: 0423
Checksum failed. Expected: ae7e, Got: 927a
Checksum failed. Expected: 8c82, Got: c9e4
Checksum failed. Expected: 8d78, Got: cb12
Checksum failed. Expected: 8f8a, Got: cb6c
Checksum failed. Expected: ba61, Got: 09df
Checksum failed. Expected: 717f, Got: 8647
Checksum failed. Expected: e5bc, Got: 06b7
Checksum failed. Expected: f2d2, Got: 075d
Checksum failed. Expected: 0276, Got: 9689
Checksum failed. Expected: 8ad0, Got: 0e48
Checksum failed. Expected: 5e2f, Got: 0c55
Checksum failed. Expected: fe7c, Got: 9a20
Checksum failed. Expected: ef09, Got: 981b
Checksum failed. Expected: 7188, Got: 9654
Checksum failed. Expected: 2997, Got: 4c2a
Checksum failed. Expected: 3751, Got: 475c
Checksum failed. Expected: 9da8, Got: 0434
Checksum failed. Expected: e2ff, Got: 1637
Checksum failed. Expected: 7ce9, Got: 9b17
Checksum failed. Expected: a009, Got: 0ef2
Checksum failed. Expected: 9e7c, Got: 0f0f
Checksum failed. Expected: cf4b, Got: 8ebb
Checksum failed. Expected: 9528, Got: 4cf0
Checksum failed. Expected: 68fe, Got: 09d2
Checksum failed. Expected: 3f39, Got: 88fb
