
#################################################################
Log started at 2025-06-13_14-53-05 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 034b, Got: e875
Checksum failed. Expected: bfee, Got: cf75
Checksum failed. Expected: b5f1, Got: dc75
Checksum failed. Expected: 81bc, Got: db75
Checksum failed. Expected: cfd0, Got: a175
Checksum failed. Expected: 2f35, Got: a675
Checksum failed. Expected: 4d33, Got: 8675
Checksum failed. Expected: ebe6, Got: 9b75
Checksum failed. Expected: d554, Got: 1f75
Checksum failed. Expected: 83f6, Got: 1375
Checksum failed. Expected: 0515, Got: b075
Checksum failed. Expected: 4547, Got: a275
Checksum failed. Expected: c176, Got: 5575
Checksum failed. Expected: 6d0b, Got: 3e75
Checksum failed. Expected: a1f7, Got: f675
Checksum failed. Expected: 9b64, Got: 6975
Checksum failed. Expected: 0d5d, Got: f075
Checksum failed. Expected: dd0b, Got: ce75
Checksum failed. Expected: ad57, Got: 4a75
Checksum failed. Expected: 7160, Got: 8f75
Checksum failed. Expected: 6168, Got: a775
Checksum failed. Expected: 770f, Got: 3875
Checksum failed. Expected: 7126, Got: 5575
Checksum failed. Expected: b325, Got: 1275
Checksum failed. Expected: b5dc, Got: c775
Checksum failed. Expected: 937b, Got: 8875
Checksum failed. Expected: d3ee, Got: bb75
Checksum failed. Expected: 7101, Got: 3075
Checksum failed. Expected: 6dd5, Got: 0875
Checksum failed. Expected: 8327, Got: 4475
Checksum failed. Expected: 118e, Got: 1d75
Checksum failed. Expected: 394c, Got: b375
Checksum failed. Expected: d7e4, Got: ad75
Checksum failed. Expected: 2d89, Got: fc75
Checksum failed. Expected: c3e2, Got: bf75
Checksum failed. Expected: c11e, Got: fd75
Checksum failed. Expected: fbd8, Got: 7d75
Checksum failed. Expected: 0706, Got: 9f75
Checksum failed. Expected: 17d9, Got: 6275
Checksum failed. Expected: 0152, Got: f175
Checksum failed. Expected: d946, Got: 0d75
Checksum failed. Expected: dfe9, Got: aa75
Checksum failed. Expected: a17e, Got: 7d75
Checksum failed. Expected: 41c5, Got: 2475
Checksum failed. Expected: 1f57, Got: d875
Checksum failed. Expected: 4392, Got: ef75
Checksum failed. Expected: f7aa, Got: 5375
Checksum failed. Expected: c734, Got: 0d75
Checksum failed. Expected: fb8b, Got: 3075
Checksum failed. Expected: 632b, Got: 6875
Checksum failed. Expected: cb3a, Got: 0f75
Checksum failed. Expected: 1bc7, Got: 4c75
Checksum failed. Expected: e30d, Got: ca75
Checksum failed. Expected: 35a2, Got: 0d75
Checksum failed. Expected: fd98, Got: 3b75
Checksum failed. Expected: 71ad, Got: dc75
Checksum failed. Expected: eb60, Got: 1575
Checksum failed. Expected: 273d, Got: b675
Checksum failed. Expected: c915, Got: ec75
Checksum failed. Expected: 917a, Got: 8975
Checksum failed. Expected: f151, Got: 0075
Checksum failed. Expected: d76a, Got: 3375
Checksum failed. Expected: 3705, Got: 6e75
Checksum failed. Expected: 238d, Got: 0a75
Checksum failed. Expected: 955f, Got: 6a75
Checksum failed. Expected: 23dc, Got: 5975
Checksum failed. Expected: 77b7, Got: e075
Checksum failed. Expected: 7fa1, Got: c275
Checksum failed. Expected: 2f9f, Got: 1075
Checksum failed. Expected: e72c, Got: e575
Checksum failed. Expected: 1163, Got: f275
Checksum failed. Expected: aba8, Got: 9d75
Checksum failed. Expected: a75b, Got: 5475
Checksum failed. Expected: 0580, Got: 1b75
Checksum failed. Expected: d5b9, Got: 8475
Checksum failed. Expected: 01e8, Got: 8775
Checksum failed. Expected: d174, Got: 4375
Checksum failed. Expected: 8f24, Got: 3575
Checksum failed. Expected: ff32, Got: d375
Checksum failed. Expected: b5c7, Got: b275
Checksum failed. Expected: a723, Got: 1c75
Checksum failed. Expected: c944, Got: 1b75
Checksum failed. Expected: 2b47, Got: bc75
Checksum failed. Expected: 5be8, Got: 2d75
Checksum failed. Expected: 2f79, Got: ea75
Checksum failed. Expected: d981, Got: 4875
Checksum failed. Expected: 45f3, Got: 4e75
Checksum failed. Expected: 3bfb, Got: 6075
Checksum failed. Expected: e98d, Got: 4475
Checksum failed. Expected: b1ce, Got: bd75
Checksum failed. Expected: 0fd8, Got: 6975
Checksum failed. Expected: 5708, Got: 5175
Checksum failed. Expected: 63e3, Got: 2075
Checksum failed. Expected: 6d86, Got: b975
Checksum failed. Expected: bf24, Got: 0575
Checksum failed. Expected: 194e, Got: d575
Checksum failed. Expected: f191, Got: 4075
Checksum failed. Expected: 4de1, Got: 3475
Checksum failed. Expected: 331d, Got: 8a75
Checksum failed. Expected: c5b0, Got: 8b75
Checksum failed. Expected: 2be9, Got: 5e75
Checksum failed. Expected: 8d5b, Got: 6e75
Checksum failed. Expected: 37bb, Got: 2475
Checksum failed. Expected: 7956, Got: 7d75
Checksum failed. Expected: d527, Got: f275
Checksum failed. Expected: cb2d, Got: 0275
Checksum failed. Expected: 2556, Got: d175
Checksum failed. Expected: f35e, Got: 0b75
Checksum failed. Expected: 0505, Got: a075
Checksum failed. Expected: 6bc4, Got: f975
Checksum failed. Expected: 0995, Got: 2c75
Checksum failed. Expected: 0d24, Got: b775
Checksum failed. Expected: 37d7, Got: 4075
Checksum failed. Expected: ed6a, Got: 1d75
Checksum failed. Expected: 0731, Got: ca75
Checksum failed. Expected: 6783, Got: bc75
Checksum failed. Expected: 1ba8, Got: 2d75
Checksum failed. Expected: 1df6, Got: 7975
Checksum failed. Expected: fb51, Got: f675
Checksum failed. Expected: 25a3, Got: 1e75
Checksum failed. Expected: c7fd, Got: d675
Checksum failed. Expected: 1dbb, Got: 3e75
Checksum failed. Expected: 2f34, Got: a575
Checksum failed. Expected: 6f2a, Got: 5b75
Checksum failed. Expected: 8347, Got: 6475
Checksum failed. Expected: cb7c, Got: 5175
Checksum failed. Expected: a713, Got: 0c75
Checksum failed. Expected: f1ce, Got: 7d75
Checksum failed. Expected: 6d6c, Got: 9f75
Checksum failed. Expected: d78b, Got: 5475
Checksum failed. Expected: 1fe4, Got: 6575
Checksum failed. Expected: 9f82, Got: 8375
Checksum failed. Expected: 2562, Got: dd75
Checksum failed. Expected: 596d, Got: b475
Checksum failed. Expected: 458c, Got: e775
Checksum failed. Expected: 2587, Got: 0275
Checksum failed. Expected: 2df9, Got: 6c75
Checksum failed. Expected: 49c0, Got: 1775
Checksum failed. Expected: f931, Got: d875
Checksum failed. Expected: 1da3, Got: 2675
Checksum failed. Expected: 112a, Got: b975
Checksum failed. Expected: 77d0, Got: f975
Checksum failed. Expected: e181, Got: 4075
Checksum failed. Expected: cd1d, Got: f075
Checksum failed. Expected: 81f3, Got: 1275
Checksum failed. Expected: a9ba, Got: b175
Checksum failed. Expected: c357, Got: 3475
Checksum failed. Expected: 4fbb, Got: 0c75
Checksum failed. Expected: fd33, Got: d675
Checksum failed. Expected: 09d6, Got: 6d75
Checksum failed. Expected: fdea, Got: 8d75
Checksum failed. Expected: cd22, Got: f575
Checksum failed. Expected: 8568, Got: 8375
Checksum failed. Expected: 8f17, Got: 2875
Checksum failed. Expected: 7560, Got: 8b75
Checksum failed. Expected: 7731, Got: 5a75
Checksum failed. Expected: 79a2, Got: c975
Checksum failed. Expected: ff74, Got: 1575
Checksum failed. Expected: 5de4, Got: 2775
Checksum failed. Expected: bf49, Got: 2a75
Checksum failed. Expected: 1d10, Got: 9375
Checksum failed. Expected: f313, Got: c075
Checksum failed. Expected: 21a3, Got: 2275
Checksum failed. Expected: bd03, Got: e675
