
#################################################################
Log started at 2025-06-13_14-56-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 998d, Got: 04bc
Checksum failed. Expected: 57dc, Got: 04bc
Checksum failed. Expected: 845b, Got: 04bc
Checksum failed. Expected: 36b4, Got: 04bc
Checksum failed. Expected: dc0d, Got: 04bc
Checksum failed. Expected: a782, Got: 04bc
Checksum failed. Expected: 71f0, Got: 04bc
Checksum failed. Expected: ee06, Got: 04bc
Checksum failed. Expected: 0254, Got: 04bc
Checksum failed. Expected: 79d2, Got: 04bc
Checksum failed. Expected: 8d44, Got: 04bc
Checksum failed. Expected: 73f0, Got: 04bc
Checksum failed. Expected: cf4a, Got: 04bc
Checksum failed. Expected: 4c35, Got: 04bc
Checksum failed. Expected: 58bc, Got: 04bc
Checksum failed. Expected: 7198, Got: 04bc
Checksum failed. Expected: ed92, Got: 04bc
Checksum failed. Expected: d33e, Got: 04bc
Checksum failed. Expected: 6845, Got: 04bc
Checksum failed. Expected: 3296, Got: 04bc
Checksum failed. Expected: 09e7, Got: 04bc
Checksum failed. Expected: 9ee7, Got: 04bc
Checksum failed. Expected: 85bc, Got: 04bc
Checksum failed. Expected: e455, Got: 04bc
Checksum failed. Expected: b0d0, Got: 04bc
Checksum failed. Expected: 0584, Got: 04bc
Checksum failed. Expected: 0552, Got: 04bc
Checksum failed. Expected: f4ae, Got: 04bc
Checksum failed. Expected: e2fb, Got: 04bc
Checksum failed. Expected: 5776, Got: 04bc
Checksum failed. Expected: 0ae4, Got: 04bc
Checksum failed. Expected: 26eb, Got: 04bc
Checksum failed. Expected: b120, Got: 04bc
Checksum failed. Expected: 0c65, Got: 04bc
Checksum failed. Expected: 0369, Got: 04bc
Checksum failed. Expected: fb6b, Got: 04bc
Checksum failed. Expected: eacf, Got: 04bc
Checksum failed. Expected: 269d, Got: 04bc
Checksum failed. Expected: 39fa, Got: 04bc
Checksum failed. Expected: 5ca7, Got: 04bc
Checksum failed. Expected: ed5a, Got: 04bc
Checksum failed. Expected: 7ddc, Got: 04bc
Checksum failed. Expected: ab48, Got: 04bc
Checksum failed. Expected: 1b54, Got: 04bc
Checksum failed. Expected: 7c2b, Got: 04bc
Checksum failed. Expected: 2d7e, Got: 04bc
Checksum failed. Expected: 3c78, Got: 04bc
Checksum failed. Expected: 172a, Got: 04bc
Checksum failed. Expected: 3aca, Got: 04bc
Checksum failed. Expected: 8b28, Got: 04bc
Checksum failed. Expected: 10ed, Got: 04bc
Checksum failed. Expected: 8792, Got: 04bc
Checksum failed. Expected: b402, Got: 04bc
Checksum failed. Expected: af54, Got: 04bc
Checksum failed. Expected: b5a0, Got: 04bc
Checksum failed. Expected: ecd8, Got: 04bc
Checksum failed. Expected: 2ee5, Got: 04bc
Checksum failed. Expected: ee64, Got: 04bc
Checksum failed. Expected: 7efd, Got: 04bc
Checksum failed. Expected: aca5, Got: 04bc
Checksum failed. Expected: 016c, Got: 04bc
Checksum failed. Expected: 0b0c, Got: 04bc
Checksum failed. Expected: 4f52, Got: 04bc
Checksum failed. Expected: 3a3f, Got: 04bc
Checksum failed. Expected: 542f, Got: 04bc
Checksum failed. Expected: c0e7, Got: 04bc
Checksum failed. Expected: 16d7, Got: 04bc
Checksum failed. Expected: 5067, Got: 04bc
Checksum failed. Expected: 5e4c, Got: 04bc
Checksum failed. Expected: 38dc, Got: 04bc
Checksum failed. Expected: 0112, Got: 04bc
Checksum failed. Expected: 4bf2, Got: 04bc
Checksum failed. Expected: 0964, Got: 04bc
Checksum failed. Expected: 2b01, Got: 04bc
Checksum failed. Expected: 14d9, Got: 04bc
Checksum failed. Expected: 8083, Got: 04bc
Checksum failed. Expected: 87d7, Got: 04bc
Checksum failed. Expected: 1f08, Got: 04bc
Checksum failed. Expected: b639, Got: 04bc
Checksum failed. Expected: ca9c, Got: 04bc
Checksum failed. Expected: 7cff, Got: 04bc
Checksum failed. Expected: 0b9c, Got: 04bc
Checksum failed. Expected: 26a1, Got: 04bc
Checksum failed. Expected: 82ee, Got: 04bc
Checksum failed. Expected: c3ed, Got: 04bc
Checksum failed. Expected: ee2f, Got: 04bc
Checksum failed. Expected: 34bb, Got: 04bc
Checksum failed. Expected: 80d3, Got: 04bc
Checksum failed. Expected: b2cf, Got: 04bc
Checksum failed. Expected: 5fce, Got: 04bc
Checksum failed. Expected: 4449, Got: 04bc
Checksum failed. Expected: 472e, Got: 04bc
Checksum failed. Expected: 4293, Got: 04bc
Checksum failed. Expected: d9c4, Got: 04bc
Checksum failed. Expected: 63f2, Got: 04bc
Checksum failed. Expected: c4ba, Got: 04bc
Checksum failed. Expected: f8b9, Got: 04bc
Checksum failed. Expected: 1a38, Got: 04bc
Checksum failed. Expected: e8c1, Got: 04bc
Checksum failed. Expected: 879a, Got: 04bc
Checksum failed. Expected: 0394, Got: 04bc
Checksum failed. Expected: d7b7, Got: 04bc
Checksum failed. Expected: 3760, Got: 04bc
Checksum failed. Expected: e134, Got: 04bc
Checksum failed. Expected: 463e, Got: 04bc
Checksum failed. Expected: 2f14, Got: 04bc
Checksum failed. Expected: 5945, Got: 04bc
Checksum failed. Expected: 8b1a, Got: 04bc
Checksum failed. Expected: 70b1, Got: 04bc
Checksum failed. Expected: eff8, Got: 04bc
Checksum failed. Expected: 13ce, Got: 04bc
Checksum failed. Expected: 3320, Got: 04bc
Checksum failed. Expected: 89d4, Got: 04bc
Checksum failed. Expected: c24f, Got: 04bc
Checksum failed. Expected: 6f4e, Got: 04bc
Checksum failed. Expected: a9de, Got: 04bc
Checksum failed. Expected: 3875, Got: 04bc
Checksum failed. Expected: 8e56, Got: 04bc
Checksum failed. Expected: bef4, Got: 04bc
Checksum failed. Expected: 2b9e, Got: 04bc
Checksum failed. Expected: 3efb, Got: 04bc
Checksum failed. Expected: 5158, Got: 04bc
Checksum failed. Expected: 257b, Got: 04bc
Checksum failed. Expected: 6e33, Got: 04bc
Checksum failed. Expected: 116e, Got: 04bc
Checksum failed. Expected: 8c5a, Got: 04bc
