
#################################################################
Log started at 2025-06-13_16-08-38 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 2a2d, Got: 0942
Checksum failed. Expected: e037, Got: 0942
Checksum failed. Expected: 5402, Got: 0942
Checksum failed. Expected: 0f81, Got: 0942
Checksum failed. Expected: b27f, Got: 0942
Checksum failed. Expected: 4ced, Got: 0942
Checksum failed. Expected: d21b, Got: 0942
Checksum failed. Expected: 74fa, Got: 0942
Checksum failed. Expected: f8e8, Got: 0942
Checksum failed. Expected: 9dff, Got: 0942
Checksum failed. Expected: d011, Got: 0942
Checksum failed. Expected: 7472, Got: 0942
Checksum failed. Expected: 13c1, Got: 0942
Checksum failed. Expected: 5e30, Got: 0942
Checksum failed. Expected: c77b, Got: 0942
Checksum failed. Expected: a529, Got: 0942
Checksum failed. Expected: 2a47, Got: 0942
Checksum failed. Expected: 69f8, Got: 0942
Checksum failed. Expected: 0f02, Got: 0942
Checksum failed. Expected: 263b, Got: 0942
Checksum failed. Expected: ffad, Got: 0942
Checksum failed. Expected: d08b, Got: 0942
Checksum failed. Expected: 47c9, Got: 0942
Checksum failed. Expected: 9027, Got: 0942
Checksum failed. Expected: a859, Got: 0942
Checksum failed. Expected: 6b2f, Got: 0942
Checksum failed. Expected: 3f4b, Got: 0942
Checksum failed. Expected: 925d, Got: 0942
Checksum failed. Expected: 2ddb, Got: 0942
Checksum failed. Expected: 4eaa, Got: 0942
Checksum failed. Expected: 56e5, Got: 0942
Checksum failed. Expected: 39d6, Got: 0942
Checksum failed. Expected: 810f, Got: 0942
Checksum failed. Expected: b52b, Got: 0942
Checksum failed. Expected: 14fd, Got: 0942
Checksum failed. Expected: 13ac, Got: 0942
Checksum failed. Expected: 0587, Got: 0942
Checksum failed. Expected: 8dd5, Got: 0942
Checksum failed. Expected: b83a, Got: 0942
Checksum failed. Expected: 7b0d, Got: 0942
Checksum failed. Expected: fefc, Got: 0942
Checksum failed. Expected: db95, Got: 0942
Checksum failed. Expected: aea7, Got: 0942
Checksum failed. Expected: 7a35, Got: 0942
