
#################################################################
Log started at 2025-06-12_16-19-53 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: ee7a, Got: 865b
Checksum failed. Expected: 7dbd, Got: 0b80
Checksum failed. Expected: 5104, Got: 1504
Checksum failed. Expected: 5568, Got: 1811
Checksum failed. Expected: bdd6, Got: 17dc
Checksum failed. Expected: dc00, Got: 9aae
Checksum failed. Expected: b4ff, Got: 1b25
Checksum failed. Expected: f7a9, Got: 8eb1
Checksum failed. Expected: b2cf, Got: 051b
Checksum failed. Expected: ea00, Got: 0852
Checksum failed. Expected: f901, Got: 0ec6
Checksum failed. Expected: 1749, Got: 8f9b
Checksum failed. Expected: f72e, Got: 046b
Checksum failed. Expected: 7992, Got: 8aee
Checksum failed. Expected: 64e4, Got: 8be5
Checksum failed. Expected: f2b0, Got: 93e6
Checksum failed. Expected: 4baf, Got: 9422
Checksum failed. Expected: eeca, Got: a071
Checksum failed. Expected: 041e, Got: 1e84
Checksum failed. Expected: 08c5, Got: 18df
Checksum failed. Expected: e3c2, Got: 9a51
Checksum failed. Expected: 36c0, Got: 1f42
Checksum failed. Expected: 386f, Got: 150e
Checksum failed. Expected: 44e7, Got: 8969
Checksum failed. Expected: 782f, Got: 1113
Checksum failed. Expected: 2bd6, Got: 959d
Checksum failed. Expected: a2ac, Got: 99be
Checksum failed. Expected: 575c, Got: 921b
Checksum failed. Expected: 5eaf, Got: 10c8
Checksum failed. Expected: 6b79, Got: 8c77
Checksum failed. Expected: f72b, Got: 95e2
Checksum failed. Expected: fdad, Got: 1418
Checksum failed. Expected: fd06, Got: 8ff6
Checksum failed. Expected: 9ee7, Got: 8cb3
Checksum failed. Expected: 8462, Got: 0cdb
Checksum failed. Expected: cde3, Got: 905e
Checksum failed. Expected: 6455, Got: 99b4
Checksum failed. Expected: 5466, Got: 1431
Checksum failed. Expected: 86bc, Got: 167d
Checksum failed. Expected: 935c, Got: 1b4f
Checksum failed. Expected: 1e4d, Got: 9979
Checksum failed. Expected: a568, Got: 1544
Checksum failed. Expected: 2290, Got: 1880
Checksum failed. Expected: 45dc, Got: 4fc4
Checksum failed. Expected: 2874, Got: 17a0
Checksum failed. Expected: 1fe0, Got: 98cc
Checksum failed. Expected: 7717, Got: 8a7b
Checksum failed. Expected: 6c75, Got: 8922
Checksum failed. Expected: 4c19, Got: a464
Checksum failed. Expected: 5066, Got: 1d21
Checksum failed. Expected: eca5, Got: 0c2a
Checksum failed. Expected: 5970, Got: 1e37
Checksum failed. Expected: 590f, Got: 9b47
Checksum failed. Expected: baa6, Got: 9b5e
Checksum failed. Expected: 8c93, Got: 1a90
Checksum failed. Expected: 6d33, Got: 96b7
Checksum failed. Expected: 6261, Got: 93f5
Checksum failed. Expected: b51f, Got: 93f4
Checksum failed. Expected: 73ed, Got: 14f5
Checksum failed. Expected: e9b6, Got: 1bfd
Checksum failed. Expected: f03b, Got: 16d3
Checksum failed. Expected: 271b, Got: 8dce
Checksum failed. Expected: ad39, Got: 0d05
Checksum failed. Expected: 5d07, Got: 158a
Checksum failed. Expected: f405, Got: 1690
Checksum failed. Expected: 27b4, Got: 0e4c
Checksum failed. Expected: 54d5, Got: 0f6e
Checksum failed. Expected: 832e, Got: 8a75
Checksum failed. Expected: 418f, Got: 075e
