
#################################################################
Log started at 2025-06-12_13-36-14 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 473d, Got: 0e04
Checksum failed. Expected: fb0b, Got: 0e04
Checksum failed. Expected: 86a5, Got: 0e04
Checksum failed. Expected: ec79, Got: 0e04
Checksum failed. Expected: d34e, Got: 0e04
Checksum failed. Expected: 9f05, Got: 0e04
Checksum failed. Expected: 8a10, Got: 0e04
Checksum failed. Expected: f412, Got: 0e04
Checksum failed. Expected: f730, Got: 0e04
Checksum failed. Expected: 3b33, Got: 0e04
Checksum failed. Expected: 3021, Got: 0e04
Checksum failed. Expected: 0d1e, Got: 0e04
Checksum failed. Expected: 4645, Got: 0e04
Checksum failed. Expected: 75c9, Got: 0e04
Checksum failed. Expected: 3c18, Got: 0e04
Checksum failed. Expected: 2b60, Got: 0e04
Checksum failed. Expected: 3fb7, Got: 0e04
Checksum failed. Expected: 79fa, Got: 0e04
Checksum failed. Expected: b10f, Got: 0e04
Checksum failed. Expected: c565, Got: 0e04
Checksum failed. Expected: bea3, Got: 0e04
Checksum failed. Expected: f6d7, Got: 0e04
Checksum failed. Expected: abbe, Got: 0e04
Checksum failed. Expected: b1d3, Got: 0e04
Checksum failed. Expected: 1230, Got: 0e04
Checksum failed. Expected: 2123, Got: 0e04
Checksum failed. Expected: 804d, Got: 0e04
Checksum failed. Expected: 0d0f, Got: 0e04
Checksum failed. Expected: c65f, Got: 0e04
Checksum failed. Expected: d104, Got: 0e04
Checksum failed. Expected: 3f63, Got: 0e04
Checksum failed. Expected: 799a, Got: 0e04
Checksum failed. Expected: 4430, Got: 0e04
Checksum failed. Expected: 5002, Got: 0e04
Checksum failed. Expected: f8d5, Got: 0e04
Checksum failed. Expected: 4f6b, Got: 0e04
Checksum failed. Expected: a6f0, Got: 0e04
Checksum failed. Expected: 213f, Got: 0e04
Checksum failed. Expected: 7a0b, Got: 0e04
Checksum failed. Expected: 711a, Got: 0e04
Checksum failed. Expected: fda6, Got: 0e04
Checksum failed. Expected: f7f5, Got: 0e04
Checksum failed. Expected: 4a2c, Got: 0e04
Checksum failed. Expected: e611, Got: 0e04
Checksum failed. Expected: 6c4f, Got: 0e04
Checksum failed. Expected: c50d, Got: 0e04
Checksum failed. Expected: 44cd, Got: 0e04
Checksum failed. Expected: 2fec, Got: 0e04
Checksum failed. Expected: b729, Got: 0e04
Checksum failed. Expected: c2ce, Got: 0e04
Checksum failed. Expected: b8cd, Got: 0e04
Checksum failed. Expected: 4d2f, Got: 0e04
Checksum failed. Expected: 558d, Got: 0e04
Checksum failed. Expected: 1341, Got: 0e04
Checksum failed. Expected: 29c2, Got: 0e04
Checksum failed. Expected: f7a1, Got: 0e04
Checksum failed. Expected: 9f70, Got: 0e04
Checksum failed. Expected: 7faa, Got: 0e04
Checksum failed. Expected: 6584, Got: 0e04
Checksum failed. Expected: a30f, Got: 0e04
Checksum failed. Expected: f655, Got: 0e04
Checksum failed. Expected: 2056, Got: 0e04
Checksum failed. Expected: f7d5, Got: 0e04
Checksum failed. Expected: 4915, Got: 0e04
Checksum failed. Expected: 87b0, Got: 0e04
Checksum failed. Expected: 8ed8, Got: 0e04
Checksum failed. Expected: 4d8b, Got: 0e04
Checksum failed. Expected: b9b6, Got: 0e04
Checksum failed. Expected: 64c7, Got: 0e04
Checksum failed. Expected: 0dc1, Got: 0e04
Checksum failed. Expected: 952b, Got: 0e04
Checksum failed. Expected: aef3, Got: 0e04
Checksum failed. Expected: b206, Got: 0e04
Checksum failed. Expected: 8cab, Got: 0e04
Checksum failed. Expected: cc74, Got: 0e04
Checksum failed. Expected: 3e23, Got: 0e04
Checksum failed. Expected: 9271, Got: 0e04
Checksum failed. Expected: 18a7, Got: 0e04
Checksum failed. Expected: 8c93, Got: 0e04
Checksum failed. Expected: 5624, Got: 0e04
Checksum failed. Expected: db4f, Got: 0e04
Checksum failed. Expected: 71b6, Got: 0e04
Checksum failed. Expected: 5bb8, Got: 0e04
Checksum failed. Expected: f7ca, Got: 0e04
Checksum failed. Expected: c595, Got: 0e04
Checksum failed. Expected: 607b, Got: 0e04
Checksum failed. Expected: 5108, Got: 0e04
Checksum failed. Expected: 091b, Got: 0e04
Checksum failed. Expected: 4a07, Got: 0e04
Checksum failed. Expected: ed86, Got: 0e04
Checksum failed. Expected: 35c2, Got: 0e04
Checksum failed. Expected: 8d69, Got: 0e04
Checksum failed. Expected: 9c50, Got: 0e04
Checksum failed. Expected: 02fd, Got: 0e04
Checksum failed. Expected: d767, Got: 0e04
Checksum failed. Expected: 03a1, Got: 0e04
Checksum failed. Expected: 3335, Got: 0e04
Checksum failed. Expected: e4cc, Got: 0e04
Checksum failed. Expected: dbb5, Got: 0e04
Checksum failed. Expected: e20a, Got: 0e04
Checksum failed. Expected: c7b5, Got: 0e04
Checksum failed. Expected: f3e3, Got: 0e04
Checksum failed. Expected: f065, Got: 0e04
Checksum failed. Expected: fe59, Got: 0e04
Checksum failed. Expected: dea2, Got: 0e04
Checksum failed. Expected: 0d15, Got: 0e04
Checksum failed. Expected: 6b1c, Got: 0e04
Checksum failed. Expected: ded2, Got: 0e04
Checksum failed. Expected: b8bc, Got: 0e04
Checksum failed. Expected: 8cff, Got: 0e04
Checksum failed. Expected: 97a5, Got: 0e04
Checksum failed. Expected: dbae, Got: 0e04
Checksum failed. Expected: 94d5, Got: 0e04
Checksum failed. Expected: 2951, Got: 0e04
Checksum failed. Expected: 8208, Got: 0e04
Checksum failed. Expected: 12e4, Got: 0e04
Checksum failed. Expected: 1197, Got: 0e04
Checksum failed. Expected: 0bda, Got: 0e04
Checksum failed. Expected: 9ce3, Got: 0e04
Checksum failed. Expected: 4079, Got: 0e04
Checksum failed. Expected: 16fb, Got: 0e04
Checksum failed. Expected: afc3, Got: 0e04
Checksum failed. Expected: 383a, Got: 0e04
Checksum failed. Expected: e66f, Got: 0e04
Checksum failed. Expected: 0490, Got: 0e04
Checksum failed. Expected: 4343, Got: 0e04
Checksum failed. Expected: d67d, Got: 0e04
Checksum failed. Expected: 8d87, Got: 0e04
Checksum failed. Expected: e42f, Got: 0e04
Checksum failed. Expected: db44, Got: 0e04
Checksum failed. Expected: 784f, Got: 0e04
Checksum failed. Expected: 0fca, Got: 0e04
Checksum failed. Expected: f57c, Got: 0e04
Checksum failed. Expected: 3672, Got: 0e04
Checksum failed. Expected: 0215, Got: 0e04
Checksum failed. Expected: 4fe3, Got: 0e04
Checksum failed. Expected: c4c0, Got: 0e04
Checksum failed. Expected: 16db, Got: 0e04
Checksum failed. Expected: cceb, Got: 0e04
Checksum failed. Expected: 978a, Got: 0e04
Checksum failed. Expected: f57e, Got: 0e04
Checksum failed. Expected: 0e39, Got: 0e04
Checksum failed. Expected: 6910, Got: 0e04
Checksum failed. Expected: 930d, Got: 0e04
Checksum failed. Expected: cd5b, Got: 0e04
Checksum failed. Expected: ff0d, Got: 0e04
Checksum failed. Expected: 5e4d, Got: 0e04
Checksum failed. Expected: 659c, Got: 0e04
Checksum failed. Expected: 2f01, Got: 0e04
Checksum failed. Expected: baa6, Got: 0e04
Checksum failed. Expected: 761d, Got: 0e04
Checksum failed. Expected: d997, Got: 0e04
Checksum failed. Expected: e995, Got: 0e04
Checksum failed. Expected: e0bd, Got: 0e04
Checksum failed. Expected: 25ea, Got: 0e04
Checksum failed. Expected: cba9, Got: 0e04
Checksum failed. Expected: fe54, Got: 0e04
Checksum failed. Expected: 355a, Got: 0e04
Checksum failed. Expected: ce30, Got: 0e04
Checksum failed. Expected: 4cbb, Got: 0e04
Checksum failed. Expected: ee2d, Got: 0e04
Checksum failed. Expected: ce66, Got: 0e04
Checksum failed. Expected: 774d, Got: 0e04
Checksum failed. Expected: ba61, Got: 0e04
Checksum failed. Expected: 246c, Got: 0e04
Checksum failed. Expected: 39ac, Got: 0e04
Checksum failed. Expected: bfeb, Got: 0e04
Checksum failed. Expected: 6f66, Got: 0e04
Checksum failed. Expected: c297, Got: 0e04
Checksum failed. Expected: 2ecd, Got: 0e04
Checksum failed. Expected: 1f6b, Got: 0e04
Checksum failed. Expected: 830f, Got: 0e04
Checksum failed. Expected: 5a9e, Got: 0e04
Checksum failed. Expected: 1187, Got: 0e04
Checksum failed. Expected: 8e14, Got: 0e04
Checksum failed. Expected: 8cb3, Got: 0e04
Checksum failed. Expected: 9975, Got: 0e04
Checksum failed. Expected: 437b, Got: 0e04
Checksum failed. Expected: 98fb, Got: 0e04
Checksum failed. Expected: 8cd4, Got: 0e04
Checksum failed. Expected: 02d3, Got: 0e04
Checksum failed. Expected: 5726, Got: 0e04
Checksum failed. Expected: 61a8, Got: 0e04
Checksum failed. Expected: d372, Got: 0e04
Checksum failed. Expected: cfd5, Got: 0e04
Checksum failed. Expected: 69a7, Got: 0e04
Checksum failed. Expected: b214, Got: 0e04
Checksum failed. Expected: 5247, Got: 0e04
Checksum failed. Expected: f18b, Got: 0e04
Checksum failed. Expected: 7f66, Got: 0e04
Checksum failed. Expected: 9b32, Got: 0e04
Checksum failed. Expected: b729, Got: 0e04
Checksum failed. Expected: daa0, Got: 0e04
Checksum failed. Expected: 4c3d, Got: 0e04
Checksum failed. Expected: 868b, Got: 0e04
Checksum failed. Expected: 1245, Got: 0e04
Checksum failed. Expected: 28d1, Got: 0e04
Checksum failed. Expected: edf8, Got: 0e04
Checksum failed. Expected: a5f5, Got: 0e04
Checksum failed. Expected: 5692, Got: 0e04
Checksum failed. Expected: 34b1, Got: 0e04
Checksum failed. Expected: b46f, Got: 0e04
Checksum failed. Expected: b769, Got: 0e04
Checksum failed. Expected: 455d, Got: 0e04
Checksum failed. Expected: 637e, Got: 0e04
Checksum failed. Expected: f5ad, Got: 0e04
Checksum failed. Expected: e51c, Got: 0e04
Checksum failed. Expected: 9f5e, Got: 0e04
Checksum failed. Expected: 0cc4, Got: 0e04
Checksum failed. Expected: a22f, Got: 0e04
Checksum failed. Expected: b8b1, Got: 0e04
Checksum failed. Expected: efb6, Got: 0e04
Checksum failed. Expected: dced, Got: 0e04
Checksum failed. Expected: 6bf1, Got: 0e04
Checksum failed. Expected: 2bb4, Got: 0e04
Checksum failed. Expected: 9e4c, Got: 0e04
Checksum failed. Expected: 248b, Got: 0e04
Checksum failed. Expected: dfe2, Got: 0e04
Checksum failed. Expected: 6a73, Got: 0e04
Checksum failed. Expected: 8f1d, Got: 0e04
Checksum failed. Expected: 68db, Got: 0e04
Checksum failed. Expected: 6ad7, Got: 0e04
Checksum failed. Expected: aa9a, Got: 0e04
Checksum failed. Expected: df5b, Got: 0e04
Checksum failed. Expected: c0b8, Got: 0e04
Checksum failed. Expected: 974b, Got: 0e04
Checksum failed. Expected: a2e5, Got: 0e04
Checksum failed. Expected: cbd7, Got: 0e04

Exiting...
