
#################################################################
Log started at 2025-06-16_16-24-30.298978 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.390648, Y=0.068809, Z=9.803280 m/s^2 Time of Week: 48.669000, Week Number: 0
Acceleration: X=0.399250, Y=0.074878, Z=9.800902 m/s^2 Time of Week: 48.672000, Week Number: 0
Acceleration: X=0.399347, Y=0.072997, Z=9.801771 m/s^2 Time of Week: 48.675000, Week Number: 0
Acceleration: X=0.405042, Y=0.073994, Z=9.805159 m/s^2 Time of Week: 48.678000, Week Number: 0
Acceleration: X=0.410687, Y=0.064500, Z=9.796377 m/s^2 Time of Week: 48.681000, Week Number: 0
Acceleration: X=0.409960, Y=0.061596, Z=9.802720 m/s^2 Time of Week: 48.684000, Week Number: 0
Acceleration: X=0.405654, Y=0.066299, Z=9.798715 m/s^2 Time of Week: 48.687000, Week Number: 0
Acceleration: X=0.407920, Y=0.067787, Z=9.802260 m/s^2 Time of Week: 48.690000, Week Number: 0
Acceleration: X=0.399903, Y=0.069474, Z=9.799058 m/s^2 Time of Week: 48.693000, Week Number: 0
Acceleration: X=0.400003, Y=0.065178, Z=9.799543 m/s^2 Time of Week: 48.696000, Week Number: 0
Acceleration: X=0.403018, Y=0.067458, Z=9.802042 m/s^2 Time of Week: 48.699000, Week Number: 0
Acceleration: X=0.408716, Y=0.062580, Z=9.805155 m/s^2 Time of Week: 48.702000, Week Number: 0
Acceleration: X=0.408660, Y=0.063678, Z=9.808014 m/s^2 Time of Week: 48.705000, Week Number: 0
Acceleration: X=0.410375, Y=0.065542, Z=9.806361 m/s^2 Time of Week: 48.708000, Week Number: 0
Acceleration: X=0.402676, Y=0.061964, Z=9.803652 m/s^2 Time of Week: 48.711000, Week Number: 0
Acceleration: X=0.398936, Y=0.068448, Z=9.807701 m/s^2 Time of Week: 48.714000, Week Number: 0
Acceleration: X=0.398687, Y=0.074159, Z=9.799180 m/s^2 Time of Week: 48.717000, Week Number: 0
Acceleration: X=0.401388, Y=0.072370, Z=9.803796 m/s^2 Time of Week: 48.720000, Week Number: 0
Acceleration: X=0.402887, Y=0.073779, Z=9.811351 m/s^2 Time of Week: 48.723000, Week Number: 0
Acceleration: X=0.400932, Y=0.071890, Z=9.806206 m/s^2 Time of Week: 48.726000, Week Number: 0
Acceleration: X=0.401786, Y=0.073505, Z=9.795830 m/s^2 Time of Week: 48.729000, Week Number: 0
Acceleration: X=0.410455, Y=0.070719, Z=9.792246 m/s^2 Time of Week: 48.732000, Week Number: 0
Acceleration: X=0.408008, Y=0.074068, Z=9.795868 m/s^2 Time of Week: 48.735000, Week Number: 0
Acceleration: X=0.402236, Y=0.074640, Z=9.792915 m/s^2 Time of Week: 48.738000, Week Number: 0
Acceleration: X=0.402140, Y=0.066809, Z=9.796900 m/s^2 Time of Week: 48.741000, Week Number: 0
Acceleration: X=0.403025, Y=0.058693, Z=9.800619 m/s^2 Time of Week: 48.744000, Week Number: 0
Acceleration: X=0.399216, Y=0.063518, Z=9.801344 m/s^2 Time of Week: 48.747000, Week Number: 0
Acceleration: X=0.403249, Y=0.057803, Z=9.804329 m/s^2 Time of Week: 48.750000, Week Number: 0
Acceleration: X=0.406610, Y=0.060610, Z=9.799346 m/s^2 Time of Week: 48.753000, Week Number: 0
Acceleration: X=0.406642, Y=0.062055, Z=9.798660 m/s^2 Time of Week: 48.756000, Week Number: 0
Acceleration: X=0.395103, Y=0.065754, Z=9.801473 m/s^2 Time of Week: 48.759000, Week Number: 0
Acceleration: X=0.398118, Y=0.061798, Z=9.799317 m/s^2 Time of Week: 48.762000, Week Number: 0
Acceleration: X=0.399506, Y=0.060675, Z=9.800931 m/s^2 Time of Week: 48.765000, Week Number: 0
Acceleration: X=0.404223, Y=0.064251, Z=9.793393 m/s^2 Time of Week: 48.768000, Week Number: 0
Acceleration: X=0.401882, Y=0.076960, Z=9.797870 m/s^2 Time of Week: 48.771000, Week Number: 0
Acceleration: X=0.404117, Y=0.068020, Z=9.802581 m/s^2 Time of Week: 48.774000, Week Number: 0
Acceleration: X=0.402337, Y=0.069757, Z=9.795004 m/s^2 Time of Week: 48.777000, Week Number: 0
Acceleration: X=0.401001, Y=0.064750, Z=9.799200 m/s^2 Time of Week: 48.780000, Week Number: 0
Acceleration: X=0.403514, Y=0.067915, Z=9.798743 m/s^2 Time of Week: 48.783000, Week Number: 0
Acceleration: X=0.401311, Y=0.071490, Z=9.802799 m/s^2 Time of Week: 48.786000, Week Number: 0
Acceleration: X=0.400868, Y=0.074581, Z=9.806956 m/s^2 Time of Week: 48.789000, Week Number: 0
Acceleration: X=0.399693, Y=0.072424, Z=9.797747 m/s^2 Time of Week: 48.792000, Week Number: 0
Acceleration: X=0.401866, Y=0.074636, Z=9.799526 m/s^2 Time of Week: 48.795000, Week Number: 0
Acceleration: X=0.405760, Y=0.075618, Z=9.796937 m/s^2 Time of Week: 48.798000, Week Number: 0
Acceleration: X=0.397884, Y=0.073367, Z=9.798183 m/s^2 Time of Week: 48.801000, Week Number: 0
Acceleration: X=0.401410, Y=0.063160, Z=9.805036 m/s^2 Time of Week: 48.804000, Week Number: 0
Acceleration: X=0.401766, Y=0.061303, Z=9.801209 m/s^2 Time of Week: 48.807000, Week Number: 0
