
#################################################################
Log started at 2025-06-16_16-24-38.796563 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=0.402705, Y=0.066181, Z=9.797228 m/s^2 Time of Week: 116679.326972, Week Number: 2371
Acceleration: X=0.403473, Y=0.076798, Z=9.806547 m/s^2 Time of Week: 116679.329972, Week Number: 2371
Acceleration: X=0.401740, Y=0.073645, Z=9.804327 m/s^2 Time of Week: 116679.332972, Week Number: 2371
Acceleration: X=0.399984, Y=0.069113, Z=9.801596 m/s^2 Time of Week: 116679.335972, Week Number: 2371
Acceleration: X=0.398647, Y=0.072509, Z=9.805112 m/s^2 Time of Week: 116679.338972, Week Number: 2371
Acceleration: X=0.398289, Y=0.068321, Z=9.799345 m/s^2 Time of Week: 116679.341972, Week Number: 2371
Acceleration: X=0.404623, Y=0.067951, Z=9.796169 m/s^2 Time of Week: 116679.344972, Week Number: 2371
Acceleration: X=0.402326, Y=0.064834, Z=9.796738 m/s^2 Time of Week: 116679.347972, Week Number: 2371
Acceleration: X=0.398634, Y=0.062186, Z=9.796532 m/s^2 Time of Week: 116679.350972, Week Number: 2371
Acceleration: X=0.398344, Y=0.067905, Z=9.799327 m/s^2 Time of Week: 116679.353972, Week Number: 2371
Acceleration: X=0.400184, Y=0.071032, Z=9.800165 m/s^2 Time of Week: 116679.356972, Week Number: 2371
Acceleration: X=0.397664, Y=0.063796, Z=9.792492 m/s^2 Time of Week: 116679.359972, Week Number: 2371
Acceleration: X=0.403229, Y=0.066393, Z=9.800963 m/s^2 Time of Week: 116679.362972, Week Number: 2371
Acceleration: X=0.398988, Y=0.063251, Z=9.797549 m/s^2 Time of Week: 116679.365972, Week Number: 2371
Acceleration: X=0.397910, Y=0.061727, Z=9.805356 m/s^2 Time of Week: 116679.368972, Week Number: 2371
Acceleration: X=0.396973, Y=0.074095, Z=9.803832 m/s^2 Time of Week: 116679.371972, Week Number: 2371
Acceleration: X=0.397629, Y=0.074945, Z=9.801581 m/s^2 Time of Week: 116679.374971, Week Number: 2371
Acceleration: X=0.395210, Y=0.070843, Z=9.805537 m/s^2 Time of Week: 116679.377971, Week Number: 2371
Acceleration: X=0.397810, Y=0.070469, Z=9.797029 m/s^2 Time of Week: 116679.380971, Week Number: 2371
Acceleration: X=0.408484, Y=0.072809, Z=9.800589 m/s^2 Time of Week: 116679.383971, Week Number: 2371
Acceleration: X=0.409779, Y=0.069724, Z=9.792956 m/s^2 Time of Week: 116679.386971, Week Number: 2371
Acceleration: X=0.406285, Y=0.067368, Z=9.802882 m/s^2 Time of Week: 116679.389971, Week Number: 2371
Acceleration: X=0.399361, Y=0.070865, Z=9.797907 m/s^2 Time of Week: 116679.392971, Week Number: 2371
Acceleration: X=0.418833, Y=0.072982, Z=9.790163 m/s^2 Time of Week: 116679.395971, Week Number: 2371
Acceleration: X=0.409279, Y=0.084926, Z=9.791562 m/s^2 Time of Week: 116679.398971, Week Number: 2371
Acceleration: X=0.401266, Y=0.074802, Z=9.795513 m/s^2 Time of Week: 116679.401971, Week Number: 2371
Acceleration: X=0.404308, Y=0.069832, Z=9.795943 m/s^2 Time of Week: 116679.404971, Week Number: 2371
Acceleration: X=0.396724, Y=0.073560, Z=9.805165 m/s^2 Time of Week: 116679.407971, Week Number: 2371
Acceleration: X=0.405789, Y=0.066083, Z=9.803803 m/s^2 Time of Week: 116679.410971, Week Number: 2371
Acceleration: X=0.401955, Y=0.060295, Z=9.808204 m/s^2 Time of Week: 116679.413971, Week Number: 2371
Acceleration: X=0.396299, Y=0.063203, Z=9.808229 m/s^2 Time of Week: 116679.416971, Week Number: 2371
Acceleration: X=0.394105, Y=0.055098, Z=9.805732 m/s^2 Time of Week: 116679.419971, Week Number: 2371
Acceleration: X=0.405903, Y=0.056842, Z=9.804657 m/s^2 Time of Week: 116679.422971, Week Number: 2371
Acceleration: X=0.399314, Y=0.062755, Z=9.802134 m/s^2 Time of Week: 116679.425971, Week Number: 2371
Acceleration: X=0.403690, Y=0.065546, Z=9.805252 m/s^2 Time of Week: 116679.428971, Week Number: 2371
Acceleration: X=0.401014, Y=0.070122, Z=9.805968 m/s^2 Time of Week: 116679.431971, Week Number: 2371
Acceleration: X=0.400075, Y=0.069082, Z=9.804865 m/s^2 Time of Week: 116679.434971, Week Number: 2371
Acceleration: X=0.402871, Y=0.068649, Z=9.790676 m/s^2 Time of Week: 116679.437971, Week Number: 2371
Acceleration: X=0.399172, Y=0.073902, Z=9.788769 m/s^2 Time of Week: 116679.440971, Week Number: 2371
Acceleration: X=0.403660, Y=0.070308, Z=9.795095 m/s^2 Time of Week: 116679.443971, Week Number: 2371
Acceleration: X=0.393281, Y=0.072738, Z=9.801974 m/s^2 Time of Week: 116679.446971, Week Number: 2371
Acceleration: X=0.396901, Y=0.067539, Z=9.806548 m/s^2 Time of Week: 116679.449971, Week Number: 2371
Acceleration: X=0.397821, Y=0.069638, Z=9.797513 m/s^2 Time of Week: 116679.452970, Week Number: 2371
Acceleration: X=0.394667, Y=0.073674, Z=9.791966 m/s^2 Time of Week: 116679.455970, Week Number: 2371
Acceleration: X=0.403502, Y=0.062654, Z=9.803072 m/s^2 Time of Week: 116679.458970, Week Number: 2371
Acceleration: X=0.397628, Y=0.060252, Z=9.798567 m/s^2 Time of Week: 116679.461970, Week Number: 2371
Acceleration: X=0.405931, Y=0.066394, Z=9.801675 m/s^2 Time of Week: 116679.464970, Week Number: 2371
Acceleration: X=0.400965, Y=0.062291, Z=9.801120 m/s^2 Time of Week: 116679.467970, Week Number: 2371
Acceleration: X=0.399862, Y=0.067138, Z=9.795575 m/s^2 Time of Week: 116679.470970, Week Number: 2371
Acceleration: X=0.406128, Y=0.064793, Z=9.796119 m/s^2 Time of Week: 116679.473970, Week Number: 2371
Acceleration: X=0.410069, Y=0.063963, Z=9.797925 m/s^2 Time of Week: 116679.476970, Week Number: 2371
Acceleration: X=0.400853, Y=0.065011, Z=9.797095 m/s^2 Time of Week: 116679.479970, Week Number: 2371
Acceleration: X=0.399903, Y=0.065266, Z=9.804386 m/s^2 Time of Week: 116679.482970, Week Number: 2371
Acceleration: X=0.409397, Y=0.067699, Z=9.795897 m/s^2 Time of Week: 116679.485970, Week Number: 2371
Acceleration: X=0.405467, Y=0.063601, Z=9.796429 m/s^2 Time of Week: 116679.488970, Week Number: 2371
Acceleration: X=0.405452, Y=0.069450, Z=9.795045 m/s^2 Time of Week: 116679.491970, Week Number: 2371
Acceleration: X=0.400905, Y=0.072430, Z=9.798665 m/s^2 Time of Week: 116679.494970, Week Number: 2371
Acceleration: X=0.405662, Y=0.070726, Z=9.801680 m/s^2 Time of Week: 116679.497970, Week Number: 2371
Acceleration: X=0.405664, Y=0.068053, Z=9.806680 m/s^2 Time of Week: 116679.500970, Week Number: 2371
Acceleration: X=0.402870, Y=0.067945, Z=9.794900 m/s^2 Time of Week: 116679.503970, Week Number: 2371
Acceleration: X=0.405324, Y=0.074944, Z=9.797081 m/s^2 Time of Week: 116679.506970, Week Number: 2371
Acceleration: X=0.405401, Y=0.068760, Z=9.803924 m/s^2 Time of Week: 116679.509970, Week Number: 2371
Acceleration: X=0.401837, Y=0.068507, Z=9.799033 m/s^2 Time of Week: 116679.512969, Week Number: 2371
Acceleration: X=0.399093, Y=0.067978, Z=9.805971 m/s^2 Time of Week: 116679.515969, Week Number: 2371
Acceleration: X=0.400161, Y=0.066992, Z=9.796883 m/s^2 Time of Week: 116679.518969, Week Number: 2371
Acceleration: X=0.397676, Y=0.063171, Z=9.795831 m/s^2 Time of Week: 116679.521969, Week Number: 2371
Acceleration: X=0.402225, Y=0.067601, Z=9.797500 m/s^2 Time of Week: 116679.524969, Week Number: 2371
Acceleration: X=0.402103, Y=0.063831, Z=9.793195 m/s^2 Time of Week: 116679.527969, Week Number: 2371
Acceleration: X=0.403623, Y=0.066684, Z=9.795246 m/s^2 Time of Week: 116679.530969, Week Number: 2371
Acceleration: X=0.399345, Y=0.068879, Z=9.806097 m/s^2 Time of Week: 116679.533969, Week Number: 2371
Acceleration: X=0.401705, Y=0.067161, Z=9.792755 m/s^2 Time of Week: 116679.536969, Week Number: 2371
