
#################################################################
Log started at 2025-06-13_16-13-08 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-0.097752, Y=-0.623782, Z=9.782944 m/s^2 Time of Week: 461608.090000, Week Number: 2370, Difference: 18.07580200002561 s
Acceleration: X=-0.094741, Y=-0.623210, Z=9.790728 m/s^2 Time of Week: 461608.091000, Week Number: 2370, Difference: 18.0757980000149 s
Acceleration: X=-0.095336, Y=-0.625031, Z=9.799694 m/s^2 Time of Week: 461608.092000, Week Number: 2370, Difference: 18.07579500000419 s
Acceleration: X=-0.092972, Y=-0.626790, Z=9.804475 m/s^2 Time of Week: 461608.093000, Week Number: 2370, Difference: 18.07579900005169 s
Acceleration: X=-0.089393, Y=-0.625601, Z=9.806279 m/s^2 Time of Week: 461608.094000, Week Number: 2370, Difference: 18.07578800004098 s
Acceleration: X=-0.094134, Y=-0.624382, Z=9.802098 m/s^2 Time of Week: 461608.095000, Week Number: 2370, Difference: 18.075791000030268 s
Acceleration: X=-0.095932, Y=-0.626247, Z=9.800932 m/s^2 Time of Week: 461608.096000, Week Number: 2370, Difference: 18.075774000019557 s
Acceleration: X=-0.091765, Y=-0.637652, Z=9.804578 m/s^2 Time of Week: 461608.097000, Week Number: 2370, Difference: 18.07577400000885 s
Acceleration: X=-0.095346, Y=-0.638169, Z=9.794999 m/s^2 Time of Week: 461608.098000, Week Number: 2370, Difference: 18.075731000056344 s
Acceleration: X=-0.100150, Y=-0.630964, Z=9.782986 m/s^2 Time of Week: 461608.099000, Week Number: 2370, Difference: 18.075782000045635 s
Acceleration: X=-0.098932, Y=-0.627378, Z=9.790763 m/s^2 Time of Week: 461608.100000, Week Number: 2370, Difference: 18.075776000034924 s
Acceleration: X=-0.098287, Y=-0.623785, Z=9.793750 m/s^2 Time of Week: 461608.101000, Week Number: 2370, Difference: 18.075800000024216 s
Acceleration: X=-0.098902, Y=-0.624969, Z=9.796128 m/s^2 Time of Week: 461608.102000, Week Number: 2370, Difference: 18.075800000013505 s
Acceleration: X=-0.095375, Y=-0.629231, Z=9.794908 m/s^2 Time of Week: 461608.103000, Week Number: 2370, Difference: 18.075785000002796 s
Acceleration: X=-0.094781, Y=-0.628628, Z=9.794303 m/s^2 Time of Week: 461608.104000, Week Number: 2370, Difference: 18.07578700005029 s
Acceleration: X=-0.089939, Y=-0.626264, Z=9.791920 m/s^2 Time of Week: 461608.105000, Week Number: 2370, Difference: 18.07579600003958 s
Acceleration: X=-0.098346, Y=-0.630452, Z=9.785347 m/s^2 Time of Week: 461608.106000, Week Number: 2370, Difference: 18.07579100002887 s
Acceleration: X=-0.104341, Y=-0.632799, Z=9.774577 m/s^2 Time of Week: 461608.107000, Week Number: 2370, Difference: 18.07579800001816 s
Acceleration: X=-0.101312, Y=-0.623213, Z=9.780560 m/s^2 Time of Week: 461608.108000, Week Number: 2370, Difference: 18.07578800000745 s
Acceleration: X=-0.094724, Y=-0.617877, Z=9.776933 m/s^2 Time of Week: 461608.109000, Week Number: 2370, Difference: 18.07579600005495 s
Acceleration: X=-0.098898, Y=-0.617229, Z=9.778725 m/s^2 Time of Week: 461608.110000, Week Number: 2370, Difference: 18.075804000044236 s
Acceleration: X=-0.100682, Y=-0.614201, Z=9.779911 m/s^2 Time of Week: 461608.111000, Week Number: 2370, Difference: 18.075789000033527 s
Acceleration: X=-0.100700, Y=-0.617789, Z=9.781715 m/s^2 Time of Week: 461608.112000, Week Number: 2370, Difference: 18.075783000022817 s
Acceleration: X=-0.098318, Y=-0.617825, Z=9.778712 m/s^2 Time of Week: 461608.113000, Week Number: 2370, Difference: 18.075784000012106 s
Acceleration: X=-0.100097, Y=-0.614815, Z=9.773927 m/s^2 Time of Week: 461608.114000, Week Number: 2370, Difference: 18.075788000001396 s
Acceleration: X=-0.107259, Y=-0.621970, Z=9.779939 m/s^2 Time of Week: 461608.115000, Week Number: 2370, Difference: 18.075784000048895 s
Acceleration: X=-0.109629, Y=-0.623121, Z=9.782340 m/s^2 Time of Week: 461608.116000, Week Number: 2370, Difference: 18.075791000038183 s
Acceleration: X=-0.097643, Y=-0.621349, Z=9.778157 m/s^2 Time of Week: 461608.117000, Week Number: 2370, Difference: 18.075791000027472 s
Acceleration: X=-0.097644, Y=-0.620166, Z=9.775762 m/s^2 Time of Week: 461608.118000, Week Number: 2370, Difference: 18.07577800001676 s
Acceleration: X=-0.105417, Y=-0.622612, Z=9.771616 m/s^2 Time of Week: 461608.119000, Week Number: 2370, Difference: 18.075781000006053 s
Acceleration: X=-0.111413, Y=-0.621393, Z=9.766803 m/s^2 Time of Week: 461608.120000, Week Number: 2370, Difference: 18.07579300005355 s
Acceleration: X=-0.112655, Y=-0.621938, Z=9.767371 m/s^2 Time of Week: 461608.121000, Week Number: 2370, Difference: 18.07580200004284 s
Acceleration: X=-0.110261, Y=-0.616547, Z=9.769135 m/s^2 Time of Week: 461608.122000, Week Number: 2370, Difference: 18.075797000032132 s
Acceleration: X=-0.103106, Y=-0.618396, Z=9.778722 m/s^2 Time of Week: 461608.123000, Week Number: 2370, Difference: 18.07579600002142 s
Acceleration: X=-0.101340, Y=-0.623811, Z=9.782315 m/s^2 Time of Week: 461608.124000, Week Number: 2370, Difference: 18.07576800001071 s
Acceleration: X=-0.101952, Y=-0.632828, Z=9.778775 m/s^2 Time of Week: 461608.125000, Week Number: 2370, Difference: 18.075784 s
Acceleration: X=-0.105501, Y=-0.629785, Z=9.778785 m/s^2 Time of Week: 461608.126000, Week Number: 2370, Difference: 18.075771000047496 s
Acceleration: X=-0.109093, Y=-0.626137, Z=9.781741 m/s^2 Time of Week: 461608.127000, Week Number: 2370, Difference: 18.07579600003679 s
Acceleration: X=-0.107304, Y=-0.626778, Z=9.787107 m/s^2 Time of Week: 461608.128000, Week Number: 2370, Difference: 18.075792000026077 s
Acceleration: X=-0.102542, Y=-0.628042, Z=9.782306 m/s^2 Time of Week: 461608.129000, Week Number: 2370, Difference: 18.075785000015365 s
Acceleration: X=-0.103121, Y=-0.627987, Z=9.779336 m/s^2 Time of Week: 461608.130000, Week Number: 2370, Difference: 18.075567000004657 s
Acceleration: X=-0.109099, Y=-0.632785, Z=9.781780 m/s^2 Time of Week: 461608.131000, Week Number: 2370, Difference: 18.075785000052154 s
Acceleration: X=-0.112099, Y=-0.633969, Z=9.789580 m/s^2 Time of Week: 461608.132000, Week Number: 2370, Difference: 18.075756000041444 s
Acceleration: X=-0.107864, Y=-0.629150, Z=9.792583 m/s^2 Time of Week: 461608.133000, Week Number: 2370, Difference: 18.075793000030735 s
Acceleration: X=-0.104271, Y=-0.628566, Z=9.790783 m/s^2 Time of Week: 461608.134000, Week Number: 2370, Difference: 18.075797000020025 s
Acceleration: X=-0.107868, Y=-0.630955, Z=9.790795 m/s^2 Time of Week: 461608.135000, Week Number: 2370, Difference: 18.07578800000931 s
Acceleration: X=-0.106712, Y=-0.634534, Z=9.790183 m/s^2 Time of Week: 461608.136000, Week Number: 2370, Difference: 18.075790000056813 s
Acceleration: X=-0.101953, Y=-0.630367, Z=9.784155 m/s^2 Time of Week: 461608.137000, Week Number: 2370, Difference: 18.075802000046103 s
Acceleration: X=-0.099576, Y=-0.630381, Z=9.787147 m/s^2 Time of Week: 461608.138000, Week Number: 2370, Difference: 18.075803000035393 s
Acceleration: X=-0.101941, Y=-0.622003, Z=9.782339 m/s^2 Time of Week: 461608.139000, Week Number: 2370, Difference: 18.075800000024678 s
Acceleration: X=-0.110287, Y=-0.621987, Z=9.782334 m/s^2 Time of Week: 461608.140000, Week Number: 2370, Difference: 18.07578300001397 s
Acceleration: X=-0.109657, Y=-0.620777, Z=9.782342 m/s^2 Time of Week: 461608.141000, Week Number: 2370, Difference: 18.07579100000326 s
Acceleration: X=-0.101916, Y=-0.626791, Z=9.788919 m/s^2 Time of Week: 461608.142000, Week Number: 2370, Difference: 18.075797000050756 s
Acceleration: X=-0.101926, Y=-0.628015, Z=9.794327 m/s^2 Time of Week: 461608.143000, Week Number: 2370, Difference: 18.075797000040048 s
Acceleration: X=-0.101327, Y=-0.630418, Z=9.788955 m/s^2 Time of Week: 461608.144000, Week Number: 2370, Difference: 18.075804000029336 s
Acceleration: X=-0.098338, Y=-0.631617, Z=9.788361 m/s^2 Time of Week: 461608.145000, Week Number: 2370, Difference: 18.075797000018625 s
Acceleration: X=-0.101865, Y=-0.627388, Z=9.793146 m/s^2 Time of Week: 461608.146000, Week Number: 2370, Difference: 18.075783000007917 s
Acceleration: X=-0.098889, Y=-0.628002, Z=9.795546 m/s^2 Time of Week: 461608.147000, Week Number: 2370, Difference: 18.075770000055414 s
Acceleration: X=-0.096501, Y=-0.626184, Z=9.792545 m/s^2 Time of Week: 461608.148000, Week Number: 2370, Difference: 18.075675000044704 s
Acceleration: X=-0.100140, Y=-0.627375, Z=9.792524 m/s^2 Time of Week: 461608.149000, Week Number: 2370, Difference: 18.075777000033995 s
Acceleration: X=-0.105543, Y=-0.624352, Z=9.788911 m/s^2 Time of Week: 461608.150000, Week Number: 2370, Difference: 18.075793000023282 s
Acceleration: X=-0.106707, Y=-0.624963, Z=9.787115 m/s^2 Time of Week: 461608.151000, Week Number: 2370, Difference: 18.075793000012574 s
Acceleration: X=-0.099548, Y=-0.631580, Z=9.786531 m/s^2 Time of Week: 461608.152000, Week Number: 2370, Difference: 18.075791000001864 s
Acceleration: X=-0.098339, Y=-0.625602, Z=9.781720 m/s^2 Time of Week: 461608.153000, Week Number: 2370, Difference: 18.07578100004936 s
Acceleration: X=-0.098955, Y=-0.624394, Z=9.790730 m/s^2 Time of Week: 461608.154000, Week Number: 2370, Difference: 18.07579300003865 s
Acceleration: X=-0.096545, Y=-0.625613, Z=9.788952 m/s^2 Time of Week: 461608.155000, Week Number: 2370, Difference: 18.07579400002794 s
Acceleration: X=-0.097101, Y=-0.625604, Z=9.784183 m/s^2 Time of Week: 461608.156000, Week Number: 2370, Difference: 18.07577400001723 s
Acceleration: X=-0.096504, Y=-0.623881, Z=9.777576 m/s^2 Time of Week: 461608.157000, Week Number: 2370, Difference: 18.07579300000652 s
Acceleration: X=-0.097742, Y=-0.625670, Z=9.785328 m/s^2 Time of Week: 461608.158000, Week Number: 2370, Difference: 18.07580200005402 s
Acceleration: X=-0.094740, Y=-0.623241, Z=9.790710 m/s^2 Time of Week: 461608.159000, Week Number: 2370, Difference: 18.075789000043308 s
Acceleration: X=-0.091761, Y=-0.623247, Z=9.782336 m/s^2 Time of Week: 461608.160000, Week Number: 2370, Difference: 18.075811000032594 s
Acceleration: X=-0.106653, Y=-0.632201, Z=9.765052 m/s^2 Time of Week: 461608.165000, Week Number: 2370, Difference: 18.075744000037254 s
Acceleration: X=-0.101278, Y=-0.631586, Z=9.763241 m/s^2 Time of Week: 461608.166000, Week Number: 2370, Difference: 18.075798000026545 s
Acceleration: X=-0.095316, Y=-0.630993, Z=9.765023 m/s^2 Time of Week: 461608.167000, Week Number: 2370, Difference: 18.075794000015833 s
Acceleration: X=-0.098878, Y=-0.631030, Z=9.766852 m/s^2 Time of Week: 461608.168000, Week Number: 2370, Difference: 18.07579600000512 s
Acceleration: X=-0.104269, Y=-0.633385, Z=9.775226 m/s^2 Time of Week: 461608.169000, Week Number: 2370, Difference: 18.07580300005262 s
Acceleration: X=-0.099507, Y=-0.634578, Z=9.776369 m/s^2 Time of Week: 461608.170000, Week Number: 2370, Difference: 18.07578700004191 s
Acceleration: X=-0.099527, Y=-0.638249, Z=9.767976 m/s^2 Time of Week: 461608.171000, Week Number: 2370, Difference: 18.075779000031197 s
Acceleration: X=-0.103109, Y=-0.637096, Z=9.761417 m/s^2 Time of Week: 461608.172000, Week Number: 2370, Difference: 18.07578500002049 s
Acceleration: X=-0.099479, Y=-0.632298, Z=9.761422 m/s^2 Time of Week: 461608.173000, Week Number: 2370, Difference: 18.07579100000978 s
Acceleration: X=-0.100085, Y=-0.635873, Z=9.761457 m/s^2 Time of Week: 461608.174000, Week Number: 2370, Difference: 18.075793000057274 s
