
#################################################################
Log started at 2025-06-13_14-52-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 478c, Got: 000e
Checksum failed. Expected: 1482, Got: 000e
Checksum failed. Expected: 9b35, Got: 000e
Checksum failed. Expected: 5e67, Got: 000e
Checksum failed. Expected: e986, Got: 000e
Checksum failed. Expected: 5ac5, Got: 000e
Checksum failed. Expected: f3f3, Got: 000e
Checksum failed. Expected: 7108, Got: 000e
Checksum failed. Expected: 7522, Got: 000e
Checksum failed. Expected: 3636, Got: 000e
Checksum failed. Expected: babb, Got: 000e
Checksum failed. Expected: 8f58, Got: 000e
Checksum failed. Expected: b935, Got: 000e
Checksum failed. Expected: 90f3, Got: 000e
Checksum failed. Expected: 4cc9, Got: 000e
Checksum failed. Expected: 5dda, Got: 000e
Checksum failed. Expected: ee5e, Got: 000e
Checksum failed. Expected: 21d1, Got: 000e
Checksum failed. Expected: 6e43, Got: 000e
Checksum failed. Expected: 76a9, Got: 000e
Checksum failed. Expected: 631c, Got: 000e
Checksum failed. Expected: 1ff2, Got: 000e
Checksum failed. Expected: b4cf, Got: 000e
Checksum failed. Expected: cd5c, Got: 000e
Checksum failed. Expected: 768d, Got: 000e
Checksum failed. Expected: dced, Got: 000e
Checksum failed. Expected: f9e2, Got: 000e
Checksum failed. Expected: 9cd7, Got: 000e
Checksum failed. Expected: a109, Got: 000e
Checksum failed. Expected: 596c, Got: 000e
Checksum failed. Expected: c3ff, Got: 000e
Checksum failed. Expected: 5578, Got: 000e
Checksum failed. Expected: 2e61, Got: 000e
Checksum failed. Expected: 5fd2, Got: 000e
Checksum failed. Expected: ee2e, Got: 000e
Checksum failed. Expected: f9c8, Got: 000e
Checksum failed. Expected: d1b2, Got: 000e
Checksum failed. Expected: 0cd4, Got: 000e
Checksum failed. Expected: dbea, Got: 000e
Checksum failed. Expected: ebd9, Got: 000e
Checksum failed. Expected: 2a41, Got: 000e
Checksum failed. Expected: 6acf, Got: 000e
Checksum failed. Expected: 1f1a, Got: 000e
Checksum failed. Expected: 2235, Got: 000e
Checksum failed. Expected: 15f0, Got: 000e
Checksum failed. Expected: 41da, Got: 000e
Checksum failed. Expected: 236e, Got: 000e
Checksum failed. Expected: b0b3, Got: 000e
Checksum failed. Expected: a051, Got: 000e
Checksum failed. Expected: 8865, Got: 000e
Checksum failed. Expected: 67c5, Got: 000e
Checksum failed. Expected: c45a, Got: 000e
Checksum failed. Expected: 287f, Got: 000e
Checksum failed. Expected: 9f22, Got: 000e
Checksum failed. Expected: 0d1a, Got: 000e
Checksum failed. Expected: 4eac, Got: 000e
Checksum failed. Expected: 8356, Got: 000e
Checksum failed. Expected: d20f, Got: 000e
Checksum failed. Expected: 3dd5, Got: 000e
Checksum failed. Expected: cc2b, Got: 000e
Checksum failed. Expected: d37e, Got: 000e
Checksum failed. Expected: e25a, Got: 000e
Checksum failed. Expected: 0d46, Got: 000e
Checksum failed. Expected: a55c, Got: 000e
Checksum failed. Expected: c14c, Got: 000e
Checksum failed. Expected: 0cb2, Got: 000e
Checksum failed. Expected: fd3f, Got: 000e
Checksum failed. Expected: ae1d, Got: 000e
Checksum failed. Expected: cd38, Got: 000e
Checksum failed. Expected: fd96, Got: 000e
Checksum failed. Expected: a6ef, Got: 000e
Checksum failed. Expected: 99a2, Got: 000e
Checksum failed. Expected: 8d49, Got: 000e
Checksum failed. Expected: ba6f, Got: 000e
Checksum failed. Expected: 252e, Got: 000e
Checksum failed. Expected: 4f1a, Got: 000e
Checksum failed. Expected: 4fe8, Got: 000e
Checksum failed. Expected: 46fc, Got: 000e
Checksum failed. Expected: b70d, Got: 000e
Checksum failed. Expected: 80bf, Got: 000e
Checksum failed. Expected: a33a, Got: 000e
Checksum failed. Expected: 8f8c, Got: 000e
Checksum failed. Expected: 4294, Got: 000e
Checksum failed. Expected: ae53, Got: 000e
Checksum failed. Expected: 513a, Got: 000e
Checksum failed. Expected: b008, Got: 000e
Checksum failed. Expected: c44b, Got: 000e
Checksum failed. Expected: b849, Got: 000e
Checksum failed. Expected: 5163, Got: 000e
Checksum failed. Expected: ea79, Got: 000e
Checksum failed. Expected: 6ac7, Got: 000e
Checksum failed. Expected: bb98, Got: 000e
Checksum failed. Expected: 54b4, Got: 000e
Checksum failed. Expected: c175, Got: 000e
Checksum failed. Expected: b780, Got: 000e
Checksum failed. Expected: 1782, Got: 000e
Checksum failed. Expected: 45ba, Got: 000e
Checksum failed. Expected: d425, Got: 000e
Checksum failed. Expected: 40f7, Got: 000e
Checksum failed. Expected: 7e43, Got: 000e
Checksum failed. Expected: 5192, Got: 000e
Checksum failed. Expected: fb0c, Got: 000e
Checksum failed. Expected: cd84, Got: 000e
Checksum failed. Expected: a780, Got: 000e
Checksum failed. Expected: 6333, Got: 000e
Checksum failed. Expected: 2ab3, Got: 000e
Checksum failed. Expected: 978b, Got: 000e
Checksum failed. Expected: a54e, Got: 000e
Checksum failed. Expected: 759a, Got: 000e
Checksum failed. Expected: a2d3, Got: 000e
Checksum failed. Expected: 88a4, Got: 000e
Checksum failed. Expected: 9ab5, Got: 000e
Checksum failed. Expected: feef, Got: 000e
Checksum failed. Expected: 88e2, Got: 000e
Checksum failed. Expected: 2cb1, Got: 000e
Checksum failed. Expected: e977, Got: 000e
Checksum failed. Expected: 370a, Got: 000e
Checksum failed. Expected: 2c1b, Got: 000e
Checksum failed. Expected: c431, Got: 000e
Checksum failed. Expected: 73fc, Got: 000e
Checksum failed. Expected: 2fa2, Got: 000e
Checksum failed. Expected: d487, Got: 000e
Checksum failed. Expected: 3475, Got: 000e
Checksum failed. Expected: 3564, Got: 000e
Checksum failed. Expected: e10a, Got: 000e
Checksum failed. Expected: 82cb, Got: 000e
Checksum failed. Expected: e709, Got: 000e
Checksum failed. Expected: 8238, Got: 000e
Checksum failed. Expected: c6fd, Got: 000e
Checksum failed. Expected: 42ff, Got: 000e
Checksum failed. Expected: fa83, Got: 000e
Checksum failed. Expected: bff5, Got: 000e
Checksum failed. Expected: 06f5, Got: 000e
Checksum failed. Expected: 71b4, Got: 000e
Checksum failed. Expected: cc36, Got: 000e
Checksum failed. Expected: 27b0, Got: 000e
Checksum failed. Expected: b954, Got: 000e
Checksum failed. Expected: f9d3, Got: 000e
Checksum failed. Expected: 997c, Got: 000e
Checksum failed. Expected: a655, Got: 000e
Checksum failed. Expected: 7d18, Got: 000e
Checksum failed. Expected: 3d19, Got: 000e
Checksum failed. Expected: 81cf, Got: 000e
Checksum failed. Expected: b78c, Got: 000e
Checksum failed. Expected: b647, Got: 000e
Checksum failed. Expected: 11e4, Got: 000e
Checksum failed. Expected: e46f, Got: 000e
Checksum failed. Expected: 2c95, Got: 000e
Checksum failed. Expected: e83b, Got: 000e
Checksum failed. Expected: b2df, Got: 000e
Checksum failed. Expected: 3ac5, Got: 000e
Checksum failed. Expected: e544, Got: 000e
Checksum failed. Expected: a560, Got: 000e
Checksum failed. Expected: e93f, Got: 000e
Checksum failed. Expected: 70ff, Got: 000e
Checksum failed. Expected: 0e6e, Got: 000e
Checksum failed. Expected: d6e9, Got: 000e
Checksum failed. Expected: 086d, Got: 000e
Checksum failed. Expected: d685, Got: 000e
Checksum failed. Expected: 1717, Got: 000e
Checksum failed. Expected: 5f38, Got: 000e
Checksum failed. Expected: 3948, Got: 000e
Checksum failed. Expected: f3d7, Got: 000e
Checksum failed. Expected: 6fc4, Got: 000e
Checksum failed. Expected: 2b77, Got: 000e
Checksum failed. Expected: 2c45, Got: 000e
Checksum failed. Expected: c122, Got: 000e
Checksum failed. Expected: 2cef, Got: 000e
Checksum failed. Expected: e7b2, Got: 000e
Checksum failed. Expected: 793a, Got: 000e
Checksum failed. Expected: 2b16, Got: 000e
Checksum failed. Expected: c778, Got: 000e
Checksum failed. Expected: 3011, Got: 000e
Checksum failed. Expected: 794a, Got: 000e
Checksum failed. Expected: 4883, Got: 000e
Checksum failed. Expected: abaf, Got: 000e
Checksum failed. Expected: 1a9a, Got: 000e
Checksum failed. Expected: 4e2f, Got: 000e
Checksum failed. Expected: d502, Got: 000e
Checksum failed. Expected: 25c0, Got: 000e
Checksum failed. Expected: 44cc, Got: 000e
Checksum failed. Expected: 1b7c, Got: 000e
Checksum failed. Expected: 4689, Got: 000e
Checksum failed. Expected: 501c, Got: 000e
Checksum failed. Expected: 0431, Got: 000e
Checksum failed. Expected: 9176, Got: 000e
Checksum failed. Expected: 539b, Got: 000e
Checksum failed. Expected: af2a, Got: 000e
Checksum failed. Expected: f863, Got: 000e
Checksum failed. Expected: 43d0, Got: 000e
Checksum failed. Expected: 766e, Got: 000e
Checksum failed. Expected: 9bd7, Got: 000e
Checksum failed. Expected: e736, Got: 000e
Checksum failed. Expected: 2d36, Got: 000e
Checksum failed. Expected: 359c, Got: 000e
Checksum failed. Expected: ad52, Got: 000e
Checksum failed. Expected: eeda, Got: 000e
Checksum failed. Expected: 7bf3, Got: 000e
Checksum failed. Expected: 439a, Got: 000e
Checksum failed. Expected: 1b70, Got: 000e
Checksum failed. Expected: 4bce, Got: 000e
Checksum failed. Expected: 7a19, Got: 000e
Checksum failed. Expected: fb6b, Got: 000e
Checksum failed. Expected: 0b49, Got: 000e
Checksum failed. Expected: 58c7, Got: 000e
Checksum failed. Expected: 9a8f, Got: 000e
Checksum failed. Expected: 450e, Got: 000e
Checksum failed. Expected: a5ed, Got: 000e
Checksum failed. Expected: fd30, Got: 000e
Checksum failed. Expected: c80f, Got: 000e
Checksum failed. Expected: 75a7, Got: 000e
Checksum failed. Expected: bba0, Got: 000e
Checksum failed. Expected: 7f0e, Got: 000e
Checksum failed. Expected: 9123, Got: 000e
Checksum failed. Expected: 2d72, Got: 000e
Checksum failed. Expected: 9ea3, Got: 000e
Checksum failed. Expected: 3c2b, Got: 000e
Checksum failed. Expected: 1a66, Got: 000e
Checksum failed. Expected: 2082, Got: 000e
Checksum failed. Expected: 1e25, Got: 000e
Checksum failed. Expected: 42b3, Got: 000e
Checksum failed. Expected: 0b6c, Got: 000e
Checksum failed. Expected: 8ccd, Got: 000e
Checksum failed. Expected: 16d9, Got: 000e
Checksum failed. Expected: d5b8, Got: 000e
Checksum failed. Expected: df1c, Got: 000e
Checksum failed. Expected: bf98, Got: 000e
Checksum failed. Expected: 9223, Got: 000e
Checksum failed. Expected: faa9, Got: 000e
Checksum failed. Expected: f0aa, Got: 000e
Checksum failed. Expected: 9d3c, Got: 000e
Checksum failed. Expected: 21c9, Got: 000e
Checksum failed. Expected: aef9, Got: 000e
Checksum failed. Expected: 87f0, Got: 000e
Checksum failed. Expected: 2bfe, Got: 000e
Checksum failed. Expected: 6eb6, Got: 000e
Checksum failed. Expected: 0f64, Got: 000e
Checksum failed. Expected: 9ca9, Got: 000e
Checksum failed. Expected: 701a, Got: 000e
Checksum failed. Expected: dcc1, Got: 000e
Checksum failed. Expected: 8957, Got: 000e
